"url","product","price","rating","reviews","vProductName....vivinoProductName.1.","vUrl....vivinoURL"
"/en/wine/david-duband-gevrey-chambertin-2016/p/BP_480229","David Duband Gevrey Chambertin 2016",560,4,87,"DavidDubandGevrey-Chambertin2016","https://www.vivino.com/search/wines?q=David+Duband+Gevrey+Chambertin+2016"
"/en/wine/gloria-st-julien-2016/p/BP_493333","Gloria St Julien 2016",560,NA,122,"Domaine du Jaugaret St-Julien2016","https://www.vivino.com/search/wines?q=Gloria+St+Julien+2016"
"/en/wine/francois-feuillet-chambolle-musigny-2013/p/BP_457175","Francois Feuillet Chambolle Musigny 2013",565,3.7,13,"FrancoisFeuilletChambolle-Musigny2013","https://www.vivino.com/search/wines?q=Francois+Feuillet+Chambolle+Musigny+2013"
"/en/wine/hirsch-vineyards-san-andreas-fault-pinot-noir-2014/p/BP_483820","Hirsch Vineyards San Andreas Fault Pinot Noir 2014",568,4.2,634,"HirschVineyardsSanAndreasFaultPinotNoir2014","https://www.vivino.com/search/wines?q=Hirsch+Vineyards+San+Andreas+Fault+Pinot+Noir+2014"
"/en/wine/tasca-rosso-del-conte-2013/p/BP_442756","Tasca Rosso del Conte 2013",568,3.8,103,"Tasca d'Almerita RossodelConte Regaleali 2013","https://www.vivino.com/search/wines?q=Tasca+Rosso+del+Conte+2013"
"/en/wine/tasca-rosso-del-conte-2014/p/BP_344378","Tasca Rosso del Conte 2014",568,3.9,45,"Tasca d'Almerita RossodelConte Regaleali 2014","https://www.vivino.com/search/wines?q=Tasca+Rosso+del+Conte+2014"
"/en/wine/tasca-rosso-del-conte-2015/p/BP_396285","Tasca Rosso del Conte 2015",568,4,13,"Tasca d'Almerita RossodelConte Regaleali 2015","https://www.vivino.com/search/wines?q=Tasca+Rosso+del+Conte+2015"
"/en/wine/tollot-beaut-aloxe-corton-1er-cru-les-fournieres-2012/p/BP_423383","Tollot Beaut Aloxe Corton 1er Cru Les Fournieres 2012",575,4.1,37,"Domaine Tollot-BeautAloxe-Corton1erCruLesFournières2012","https://www.vivino.com/search/wines?q=Tollot+Beaut+Aloxe+Corton+1er+Cru+Les+Fournieres+2012"
"/en/wine/petit-lion-st-julien-2nd-wine-2015/p/BP_460218","Petit Lion St Julien 2nd Wine 2015",576,4.2,126,"Château Léoville Las Cases Le PetitLion Saint-Julien2015","https://www.vivino.com/search/wines?q=Petit+Lion+St+Julien+2nd+Wine+2015"
"/en/wine/phelan-segur-st-estephe-2015/p/BP_460157","Phelan Segur St Estephe 2015",576,3.9,618,"Château PhélanSégur Saint-Estèphe2015","https://www.vivino.com/search/wines?q=Phelan+Segur+St+Estephe+2015"
"/en/wine/pagodes-de-cos-st-estephe-2nd-wine-2011/p/BP_450348","Pagodes de Cos St Estephe 2nd Wine 2011",580,NA,1009,"Domaines Reybier Les PagodesdeCos Saint-Estephe2011","https://www.vivino.com/search/wines?q=Pagodes+de+Cos+St+Estephe+2nd+Wine+2011"
"/en/wine/david-duband-nuits-st-georges-2015/p/BP_483789","David Duband Nuits St Georges 2015",580,3.9,126,"DavidDubandNuits-Saint-Georges2015","https://www.vivino.com/search/wines?q=David+Duband+Nuits+St+Georges+2015"
"/en/wine/les-vins-de-vienne-cote-rotie-le-plomb-2017/p/BP_348199","Les Vins de Vienne Cote Rotie Le Plomb 2017",580,4.2,20,"LesVinsdeVienne - Cuilleron-Gaillard-Villard Lieu-Dit LeplombCôte-Rôtie2017","https://www.vivino.com/search/wines?q=Les+Vins+de+Vienne+Cote+Rotie+Le+Plomb+2017"
"/en/wine/castello-banfi-brunello-di-montalcino-2014/p/BP_390586","Castello Banfi Brunello di Montalcino 2014",580,4.2,3667,"BanfiBrunellodiMontalcino2014","https://www.vivino.com/search/wines?q=Castello+Banfi+Brunello+di+Montalcino+2014"
